downscaling_method,scenario,timescale,variable,resolution
Statistical,Historical Climate,daily,Maximum relative humidity,3 km
Statistical,Historical Climate,daily,Minimum relative humidity,3 km
Statistical,Historical Climate,daily,Specific humidity at 2m,3 km
Statistical,Historical Climate,daily,Precipitation (total),3 km
Statistical,Historical Climate,daily,Shortwave flux at the surface,3 km
Statistical,Historical Climate,daily,Maximum air temperature at 2m,3 km
Statistical,Historical Climate,daily,Minimum air temperature at 2m,3 km
Statistical,Historical Climate,daily,West-East component of Wind at 10m,3 km
Statistical,Historical Climate,daily,North-South component of Wind at 10m,3 km
Statistical,Historical Climate,daily,Wind speed at 10m,3 km
Statistical,Historical Climate,monthly,Maximum relative humidity,3 km
Statistical,Historical Climate,monthly,Minimum relative humidity,3 km
Statistical,Historical Climate,monthly,Specific humidity at 2m,3 km
Statistical,Historical Climate,monthly,Precipitation (total),3 km
Statistical,Historical Climate,monthly,Shortwave flux at the surface,3 km
Statistical,Historical Climate,monthly,Maximum air temperature at 2m,3 km
Statistical,Historical Climate,monthly,Minimum air temperature at 2m,3 km
Statistical,Historical Climate,monthly,West-East component of Wind at 10m,3 km
Statistical,Historical Climate,monthly,North-South component of Wind at 10m,3 km
Statistical,Historical Climate,monthly,Wind speed at 10m,3 km
Statistical,SSP 2-4.5,daily,Maximum relative humidity,3 km
Statistical,SSP 2-4.5,daily,Minimum relative humidity,3 km
Statistical,SSP 2-4.5,daily,Specific humidity at 2m,3 km
Statistical,SSP 2-4.5,daily,Precipitation (total),3 km
Statistical,SSP 2-4.5,daily,Shortwave flux at the surface,3 km
Statistical,SSP 2-4.5,daily,Maximum air temperature at 2m,3 km
Statistical,SSP 2-4.5,daily,Minimum air temperature at 2m,3 km
Statistical,SSP 2-4.5,daily,West-East component of Wind at 10m,3 km
Statistical,SSP 2-4.5,daily,North-South component of Wind at 10m,3 km
Statistical,SSP 2-4.5,daily,Wind speed at 10m,3 km
Statistical,SSP 2-4.5,monthly,Maximum relative humidity,3 km
Statistical,SSP 2-4.5,monthly,Minimum relative humidity,3 km
Statistical,SSP 2-4.5,monthly,Specific humidity at 2m,3 km
Statistical,SSP 2-4.5,monthly,Precipitation (total),3 km
Statistical,SSP 2-4.5,monthly,Shortwave flux at the surface,3 km
Statistical,SSP 2-4.5,monthly,Maximum air temperature at 2m,3 km
Statistical,SSP 2-4.5,monthly,Minimum air temperature at 2m,3 km
Statistical,SSP 2-4.5,monthly,West-East component of Wind at 10m,3 km
Statistical,SSP 2-4.5,monthly,North-South component of Wind at 10m,3 km
Statistical,SSP 2-4.5,monthly,Wind speed at 10m,3 km
Statistical,SSP 3-7.0,daily,Maximum relative humidity,3 km
Statistical,SSP 3-7.0,daily,Minimum relative humidity,3 km
Statistical,SSP 3-7.0,daily,Specific humidity at 2m,3 km
Statistical,SSP 3-7.0,daily,Precipitation (total),3 km
Statistical,SSP 3-7.0,daily,Shortwave flux at the surface,3 km
Statistical,SSP 3-7.0,daily,Maximum air temperature at 2m,3 km
Statistical,SSP 3-7.0,daily,Minimum air temperature at 2m,3 km
Statistical,SSP 3-7.0,daily,West-East component of Wind at 10m,3 km
Statistical,SSP 3-7.0,daily,North-South component of Wind at 10m,3 km
Statistical,SSP 3-7.0,daily,Wind speed at 10m,3 km
Statistical,SSP 3-7.0,monthly,Maximum relative humidity,3 km
Statistical,SSP 3-7.0,monthly,Minimum relative humidity,3 km
Statistical,SSP 3-7.0,monthly,Specific humidity at 2m,3 km
Statistical,SSP 3-7.0,monthly,Precipitation (total),3 km
Statistical,SSP 3-7.0,monthly,Shortwave flux at the surface,3 km
Statistical,SSP 3-7.0,monthly,Maximum air temperature at 2m,3 km
Statistical,SSP 3-7.0,monthly,Minimum air temperature at 2m,3 km
